# n=1000000000000000000,k=7,i_requested=2,i_effective=2,j=8,reason=cycle
# count_total=2159,count_divisible=1153,count_non_zero=1006
# count_divisible_k2_or_more=147,gamma=0.12749349522983522
# mean_non_zero=3.481113320079523,var_non_zero=2.8699216233414706,std_non_zero=1.694084302312453,skew_non_zero=0.04474332502922145
# shannon_entropy_non_zero=2.582764715641138,Hmax=2.584962500721156,ratio=0.9991497806720968,delta=0.002197785080018111
# cycle_start=1998 cycle_length=161
step,value,remainder,is_divisible_by_k,k_adic_valuation
747,1906764104371826970,4,0,0
748,17160876939346442946,0,1,1
749,2451553848478063278,5,0,0
750,22063984636302569772,0,1,1
751,3151997805186081396,6,0,0
752,28367980246674732888,0,1,1
753,4052568606667818984,5,0,0
754,36473117460010371126,0,1,1
755,5210445351430053018,4,0,0
756,46894008162870477378,0,1,2
757,6699144023267211054,0,1,1
758,957020574752458722,2,0,0
759,8613185172772128606,0,1,1
760,1230455024681732658,4,0,0
761,11074095222135594138,0,1,1
762,1582013603162227734,2,0,0
763,14238122428460049714,0,1,2
764,2034017489780007102,0,1,1
765,290573927111429586,2,0,0
766,2615165344002866382,0,1,1
767,373595049143266626,4,0,0
768,3362355442289399850,0,1,2
769,480336491755628550,0,1,1
770,68619498822232650,5,0,0
771,617575489400094120,0,1,1
772,88225069914299160,3,0,0
773,794025629228692602,0,1,1
774,113432232746956086,5,0,0
775,1020890094722605044,0,1,2
776,145841442103229292,0,1,1
777,20834491729032756,5,0,0
778,187510425561295074,0,1,1
779,26787203651613582,2,0,0
780,241084832864522346,0,1,1
781,34440690409217478,1,0,0
782,309966213682957356,0,1,1
783,44280887668993908,2,0,0
784,398527989020945280,0,1,1
785,56932569860135040,1,0,0
786,512393128741215414,0,1,1
787,73199018391602202,1,0,0
788,658791165524419872,0,1,1
789,94113023646345696,6,0,0
790,847017212817111588,0,1,1
791,121002458973873084,6,0,0
792,1089022130764858080,0,1,1
793,155574590109265440,1,0,0
794,1400171310983389014,0,1,1
795,200024472997627002,4,0,0
796,1800220256978643234,0,1,1
797,257174322425520462,4,0,0
798,2314568901829684374,0,1,1
799,330652700261383482,3,0,0
800,2975874302352451500,0,1,1
801,425124900336064500,5,0,0
802,3826124103024580770,0,1,1
803,546589157574940110,1,0,0
804,4919302418174461044,0,1,1
805,702757488310637292,1,0,0
806,6324817394795735682,0,1,1
807,903545342113676526,5,0,0
808,8131908079023089004,0,1,1
809,1161701154146155572,5,0,0
810,10455310387315400418,0,1,2
811,1493615769616485774,0,1,1
812,213373681373783682,3,0,0
813,1920363132364053300,0,1,1
814,274337590337721900,3,0,0
815,2469038313039497262,0,1,1
816,352719759005642466,4,0,0
817,3174477831050782410,0,1,1
818,453496833007254630,6,0,0
